OD;Prix d'appel 2nde ;Plein Tarif Loisir 2nde;1ère classe;Commentaires
LYON PART DIEU-ST RAPHAEL VALESCURE;25.0;86.0;121.0;
LYON PERRACHE-TOULOUSE MATABIAU;25.0;86.0;122.0;
LAVAL-CHAMPAGNE ARDENNE;25.0;92.0;122.0;
BEZIERS-BEAUNE;25.0;84.0;124.0;
LILLE FLANDRES-LE MANS;25.0;92.0;115.0;
LYON PERRACHE-TGV HAUTE PICARDIE;25.0;106.0;146.0;
LYON PART DIEU-ST NAZAIRE;25.0;109.0;145.0;
ROUEN RIVE DROITE-VALENCE;25.0;112.0;154.0;
PORNICHET-LYON PART DIEU;25.0;113.0;150.0;
ANGOULEME-LYON PART DIEU;25.0;116.0;163.0;
LILLE FLANDRES-LIMOGES BENEDICTINS;25.0;119.0;149.0;
TGV HAUTE PICARDIE-ST GERVAIS LES BAINS LE FAYET;25.0;119.0;156.0;
ANNECY-TGV HAUTE PICARDIE;25.0;119.0;156.0;
LILLE FLANDRES-ST BRIEUC;;119.0;153.0;
METZ VILLE-LES ARCS DRAGUIGNAN;20.0;132.0;168.0;
CHERBOURG-CHAMBERY CHALLES LES EAUX;25.0;125.0;165.0;
CHAMBERY CHALLES LES EAUX-DOUAI;25.0;127.0;167.0;
DOUAI-ST GERVAIS LES BAINS LE FAYET;;127.0;167.0;
DUNKERQUE-SALLANCHES COMBLOUX MEGEVE;25.0;127.0;167.0;
GRENOBLE-DOUAI;25.0;127.0;167.0;
AIX EN PROVENCE TGV-ROUEN RIVE DROITE;25.0;129.0;177.0;
ANGERS ST LAUD-NIMES;25.0;133.0;173.0;
ANGERS ST LAUD-AVIGNON;25.0;133.0;173.0;
ST JEAN DE MAURIENNE ARVAN-RENNES;25.0;132.0;170.0;
MOUTIERS SALINS BRIDES-VANNES;30.0;137.0;179.0;
ST JEAN DE MAURIENNE ARVAN-AURAY;;137.0;179.0;
CHAMBERY CHALLES LES EAUX-GUINGAMP;30.0;137.0;179.0;
AVIGNON-LILLE EUROPE;30.0;144.0;180.0;
IRUN-DOUAI;30.0;144.0;174.0;
MODANE-BREST;30.0;147.0;190.0;
ST JEAN DE MAURIENNE ARVAN-QUIMPER;;147.0;190.0;
BREST-LA ROCHE SUR FORON;30.0;147.0;190.0;
ST AVRE LA CHAMBRE-QUIMPER;;147.0;190.0;
LILLE FLANDRES-TOULON;30.0;155.0;196.0;
LILLE EUROPE-MARMANDE;30.0;144.0;174.0;
CHATEAUROUX-MARNE LA VALLEE CHESSY;20.0;69.0;86.0;
DIJON VILLE-MANTES LA J. TGV;;65.0;89.0;
MONTBARD-BELFORT-MONTBELIARD TGV;15.0;53.0;70.0;
